-9.41091309959	-2.99187564804	-0.053294074419	-641.6523425

order	e	e_dot	theta	theta_dot
4	1.6	-0.00597	-1e-05	0.0
5	2.4	-0.00495	-1e-05	0.0
6	0.5	0.01172	-1e-05	0.0
7	-0.7	0.00746	-2e-05	6e-05
8	1.7	-0.01483	-2e-05	0.0
9	3.3	-0.00987	-2e-05	0.0
10	2.1	0.00744	-2e-05	0.0
11	1.7	0.00247	-2e-05	0.0
12	2.8	-0.0068	-2e-05	0.0
13	3.0	-0.02884	-2e-05	0.0
14	1.2	0.0057	-3e-05	3e-05
15	0.6	0.0037	-3e-05	0.0
16	1.6	-0.00622	-3e-05	0.0
17	2.0	-0.00246	-0.00075	0.00441
18	2.5	-0.0031	0.00086	-0.00999
19	2.8	-0.00185	0.00207	-0.00744
20	2.9	-0.00062	0.00242	-0.00216
21	17.4	-0.08983	0.00292	-0.00313
22	16.4	0.00617	0.00598	-0.01889
23	15.3	0.10393	0.00649	-0.04773
24	12.3	0.0096	0.00967	-0.01017
25	11.2	0.0068	0.01051	-0.00522
26	11.9	-0.00434	0.01394	-0.02128
27	9.9	0.01233	0.01537	-0.0088
28	8.2	0.01049	0.01608	-0.00438
29	8.2	0.0	0.01846	-0.01471
30	4.1	0.02548	0.01905	-0.00368
31	3.2	0.00555	0.0214	-0.01451
32	2.0	0.00741	0.02202	-0.00384
33	0.2	0.13811	0.02419	-0.16621
34	-2.8	0.00968	0.02562	-0.00461
35	-5.3	0.01541	0.0273	-0.01036
36	-5.3	0.0	0.02772	-0.00266
37	-7.4	0.01298	0.02835	-0.00384
38	-11.6	0.02592	0.02735	0.00618
39	-13.7	0.01305	0.02546	0.01171
40	-14.9	0.0074	0.01948	0.0369
41	-16.5	0.00989	0.01492	0.02817
42	-17.1	0.0037	0.00781	0.04386
43	-16.6	-0.04338	0.0051	0.23512
44	-17.5	0.00289	-0.0024	0.02406
45	-17.9	0.00247	-0.00441	0.01242
46	-14.7	-0.01988	-0.00768	0.02034
47	-13.5	-0.00741	-0.00938	0.0105
48	-16.0	0.01543	-0.01236	0.01835
49	-16.5	0.00308	-0.01375	0.00855
50	-15.8	-0.00434	-0.01635	0.01616
51	-14.7	-0.00681	-0.01763	0.00794
52	-12.4	-0.01419	-0.01879	0.00713
53	-11.3	-0.18779	-0.02105	0.38641
54	-11.5	0.00063	-0.02312	0.00653
55	-10.3	-0.0074	-0.02483	0.01054
56	-6.5	-0.02365	-0.02624	0.00876
57	-4.6	-0.01173	-0.02735	0.0069
58	-6.9	0.01416	-0.02832	0.00592
59	-6.1	-0.00498	-0.02793	-0.00242
60	-1.6	-0.02775	-0.02739	-0.00329
61	-1.4	-0.00124	-0.02598	-0.00876
62	-3.7	0.01417	-0.0252	-0.00479
63	-4.3	0.03946	-0.02406	-0.07476
64	-3.8	-0.00163	-0.02099	-0.00998
65	-2.4	-0.00863	-0.02029	-0.00431
66	-2.7	0.00187	-0.01872	-0.00979
67	-2.7	0.0	-0.01633	-0.01475
68	-0.6	-0.01295	-0.0163	-0.00018
69	-0.0	-0.00373	-0.0166	0.00187
70	-0.1	0.00062	-0.01623	-0.00228
71	0.9	-0.00617	-0.01695	0.00444
72	3.2	-0.0142	-0.01679	-0.00102
73	4.7	-0.12524	-0.01628	-0.04218
74	2.9	0.00578	-0.01575	-0.00172
75	3.8	-0.00556	-0.01518	-0.00348
76	5.0	-0.00745	-0.01466	-0.00326
77	5.5	-0.00309	-0.01266	-0.01236
78	8.3	-0.01727	-0.01031	-0.0145
79	8.7	-0.00246	-0.0063	-0.02464
80	10.1	-0.00872	-0.00235	-0.02463
81	11.7	-0.03542	0.00054	-0.06408
82	7.2	0.03821	0.00239	-0.01567
83	7.2	0.0	0.00661	-0.0984
84	6.6	0.05405	0.00904	-0.21965
85	7.2	-0.00224	0.01423	-0.01936
86	5.4	0.01111	0.01567	-0.00887
87	2.3	0.01914	0.01927	-0.02226
88	6.0	-0.02298	0.02105	-0.01104
89	7.3	-0.00801	0.02278	-0.01066
90	2.2	0.0315	0.02572	-0.01818
91	-0.2	0.01482	0.02654	-0.00504
92	0.7	-0.00523	0.02797	-0.0083
93	-0.7	0.00718	0.02839	-0.00219
94	0.7	-0.01186	0.03115	-0.02337
95	0.7	0.0	0.03272	-0.00971
96	-6.4	0.04393	0.0321	0.00379
97	-7.6	0.15138	0.02951	0.32719
98	-12.5	0.01554	0.02547	0.01281
99	-14.5	0.01158	0.02369	0.01029
100	-16.7	0.01453	0.01659	0.0469
101	-16.7	0.0	0.01084	0.03558
102	-17.5	0.00496	0.00546	0.03339
103	-17.5	0.0	0.0013	1.37418
104	-17.5	0.0	-0.00284	0.32363

